Merchant Category,Supplier Name,Service,Summary of purpose of expenditure,Date,net_amount
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,156.94
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,-90.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,384.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,91.07
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,185.64
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,538
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,384.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,24/08/2016,"2,960.00"
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,24/08/2016,"1,250.00"
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,324.9
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,324.9
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,25/08/2016,101.53
