Data is Unweighted,,,Q5,,,,,,,,,,,,,,,,,,Q6,,,,,,,,,,,,,,,,,,,,,,,,Q7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,"For each of the statements below, how often do you feel this way about your job?",,,,,,,,,,,,,,,,,,To what extent do you agree or disagree with the following statements about your job?,,,,,,,,,,,,,,,,,,,,,,,,To what extent do you agree or disagree with the following statements about your work?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This sheet contains questions relating to: job design and work pressure, and being respected and valued at work",,,a) I look forward to going to work,,,,,,b) I am enthusiastic about my job,,,,,,c) Time passes quickly when I am working ,,,,,,"a) I have clear, planned goals and objectives for my job",,,,,,b) I always know what my work responsibilities are,,,,,,c) I am trusted to do my job,,,,,,d) I am able to do my job to a standard I am personally pleased with,,,,,,a) There are frequent opportunities for me to show initiative in my role,,,,,,b) I am able to make suggestions to improve the work of my team / department,,,,,,c) I am involved in deciding on changes introduced that affect my work area / team / department,,,,,,d) I am able to make improvements happen in my area of work,,,,,,e) I am unable to meet all the conflicting demands on my time at work,,,,,,"f) I have adequate materials, supplies and equipment to do my work",,,,,,g) There are enough staff at this organisation for me to do my job properly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Patient Transport Service,--,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Medical / Dental staff,--,4,9,32,39,16,339,3,6,23,43,25,339,3,4,15,45,33,339,5,12,20,47,17,338,2,7,10,57,25,339,2,4,7,54,33,339,3,8,9,52,29,337,6,10,26,45,14,339,6,8,18,50,18,338,14,20,21,30,15,337,8,18,29,32,13,338,5,22,28,32,14,338,5,14,19,51,11,337,16,28,22,28,7,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  medical / dental (consultants),--,4,9,22,35,30,81,3,5,23,39,31,81,5,1,7,46,41,81,4,16,20,39,21,81,0,5,13,59,24,81,2,3,4,53,38,81,1,7,16,43,34,80,4,6,29,45,16,81,6,5,18,45,26,80,12,16,24,31,17,79,9,17,22,35,17,81,3,20,18,33,27,80,5,16,16,50,14,80,23,31,19,22,6,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  medical / dental (in training),--,0,13,40,17,31,14,0,25,10,21,44,14,13,17,16,36,19,14,6,13,29,40,13,14,0,0,35,40,25,14,0,13,0,52,35,14,0,13,4,54,29,14,13,16,13,41,19,14,13,3,19,40,26,14,13,25,20,27,16,14,13,13,26,33,16,14,19,8,28,29,16,14,0,20,13,58,9,14,13,7,42,31,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  medical / dental (other),--,4,9,33,38,15,244,4,5,22,45,24,244,3,4,17,43,33,244,4,9,20,50,18,243,2,7,7,57,27,244,2,3,7,55,33,244,4,7,7,54,29,243,6,11,25,46,13,244,6,9,17,53,16,244,14,21,19,30,16,244,7,17,30,32,14,243,5,23,29,33,10,244,5,13,21,52,9,243,13,27,24,30,7,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Registered Nurses and Midwives,--,3,12,32,39,15,"2,570",1,5,25,38,30,"2,557",1,3,14,31,51,"2,560",2,9,16,54,19,"2,568",2,7,10,54,28,"2,569",1,3,7,51,39,"2,574",4,14,12,45,25,"2,572",2,9,17,51,20,"2,569",2,6,12,58,22,"2,572",7,16,20,40,17,"2,569",4,14,25,43,15,"2,565",4,19,22,35,20,"2,562",7,23,20,42,8,"2,563",24,36,20,17,3,"2,561",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  adult / general nurses,--,3,10,33,38,16,947,1,4,25,38,32,943,1,3,15,33,48,944,2,8,17,52,21,949,2,6,9,53,30,949,1,2,6,49,42,951,2,12,12,45,29,948,2,8,16,52,22,950,1,7,11,57,23,947,7,15,21,38,19,949,4,13,25,44,15,948,3,21,24,35,16,947,5,19,18,49,9,946,19,35,21,21,4,945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  mental health nurses,--,2,9,16,54,18,100,1,7,8,40,43,99,1,6,14,25,54,100,4,6,14,44,33,100,4,7,11,41,38,100,1,2,5,45,47,100,3,7,8,46,35,100,1,5,16,43,35,100,0,3,15,51,31,100,6,23,11,30,31,99,4,9,28,31,28,100,9,30,29,16,16,100,5,16,13,49,17,99,17,30,14,26,12,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  learning disabilities nurses,--,13,3,48,26,9,67,5,2,31,42,19,67,1,4,32,34,30,66,3,12,14,57,13,67,2,13,16,45,24,67,2,1,9,44,45,66,9,13,4,43,32,67,3,1,17,46,33,67,2,4,11,53,29,67,2,14,23,42,20,67,6,12,14,52,15,67,4,27,39,26,4,67,5,23,35,30,6,67,23,26,23,24,5,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  children nurses,--,2,9,24,54,10,113,1,4,17,38,40,111,1,5,14,33,48,111,1,9,10,57,24,112,1,6,9,49,35,112,0,3,5,49,43,112,4,12,15,38,30,113,0,7,15,54,23,113,1,7,14,49,28,113,2,13,25,37,23,112,1,12,26,37,24,113,1,21,29,34,14,112,8,24,22,39,7,112,18,41,22,15,4,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  midwives,--,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  health visitors,--,3,11,32,41,14,427,2,4,25,44,25,423,1,2,11,32,54,424,1,7,15,55,22,424,1,5,9,55,30,425,1,4,9,51,36,427,5,17,15,44,19,426,5,13,21,43,18,424,3,5,11,59,21,426,8,15,19,41,17,424,4,14,20,48,14,425,4,24,19,30,23,425,11,33,16,36,5,423,23,39,22,14,1,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  district / community nurses,--,3,15,32,35,14,749,1,8,25,37,29,747,1,1,12,27,59,748,1,10,17,56,16,749,1,8,10,58,23,750,0,3,6,55,36,751,4,17,11,46,22,751,2,8,16,54,20,748,2,6,11,62,19,752,7,17,20,40,15,751,4,14,28,40,13,746,5,15,20,36,24,747,7,23,22,40,8,750,31,36,17,14,3,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  other registered nurses,--,2,11,27,46,14,159,1,4,22,33,41,159,0,3,11,31,55,159,1,8,17,54,21,159,1,7,10,52,30,158,1,4,8,44,42,159,2,13,10,45,29,159,1,9,16,51,23,159,2,9,12,50,28,159,7,11,17,46,18,159,3,15,20,42,20,158,5,18,27,37,13,156,5,17,23,47,8,158,17,32,22,23,5,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Nursing or Healthcare Assistants,--,2,9,29,38,22,637,1,4,22,33,40,635,1,4,21,32,41,634,2,6,19,57,16,638,1,5,6,61,26,641,1,1,5,57,36,641,1,6,4,48,40,641,3,10,25,50,13,639,2,9,19,58,11,640,7,18,31,38,7,637,5,16,34,38,6,634,5,25,37,27,5,624,5,14,22,50,9,636,15,27,23,30,5,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Social care staff,--,5,15,26,45,10,127,1,10,22,35,33,126,1,10,14,34,41,127,4,12,8,53,23,126,1,10,5,55,29,125,1,4,1,40,54,126,4,6,8,53,29,125,1,3,16,47,33,127,1,4,13,66,16,127,10,12,27,45,7,127,3,10,22,52,13,127,8,30,20,33,9,127,5,10,14,65,6,127,24,17,22,34,3,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  social workers,--,16,19,18,46,2,38,3,14,21,41,21,38,3,11,7,21,57,38,5,16,15,45,20,38,4,18,10,47,22,38,3,5,4,35,53,38,2,17,13,47,21,38,2,5,11,36,46,38,0,3,6,75,16,38,17,9,28,43,4,38,5,9,24,48,14,38,3,20,22,36,20,38,6,14,21,57,3,38,39,31,21,7,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  social care managers,--,3,9,28,32,29,19,0,7,32,27,35,18,0,0,13,27,60,19,3,3,15,48,31,19,3,6,22,32,38,19,3,0,0,50,47,19,3,22,4,38,34,19,3,15,7,43,31,19,3,15,4,44,34,19,6,24,3,30,38,19,8,0,18,39,34,19,29,13,10,19,29,19,0,25,7,36,31,19,8,38,47,4,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  social care support staff,--,0,10,35,37,17,70,0,5,26,33,36,70,2,5,22,47,25,70,5,9,5,66,16,69,0,4,2,70,23,68,0,7,1,52,40,69,6,2,5,60,26,68,2,5,18,63,12,70,3,5,26,56,11,70,3,16,34,40,8,70,3,14,26,49,7,70,14,32,21,27,6,70,7,10,6,72,6,70,7,14,15,59,5,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Public Health / Health Improvement,--,8,11,21,38,21,168,6,5,20,31,37,167,1,7,25,32,34,167,3,7,20,46,25,168,1,9,12,49,30,168,0,3,6,54,37,168,1,4,9,49,37,167,6,9,18,47,21,168,2,4,11,60,23,167,6,12,16,49,17,168,4,7,15,57,16,166,3,26,27,34,10,166,4,13,24,46,12,167,13,18,37,26,6,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Commissioning managers / support staff,--,6,9,59,9,17,14,0,6,56,30,9,14,6,6,44,11,33,14,11,15,26,39,9,14,11,26,20,28,15,14,0,6,0,56,39,14,11,6,22,28,33,14,15,6,33,43,4,14,15,0,11,48,26,14,15,33,28,20,4,14,11,39,0,41,9,14,11,20,17,48,4,14,11,33,31,24,0,14,4,39,43,15,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Wider Healthcare Team,--,5,12,35,34,14,"1,839",2,8,30,31,28,"1,837",2,5,24,32,38,"1,842",4,11,20,51,14,"1,840",2,9,12,53,24,"1,844",2,2,7,50,39,"1,844",3,8,8,47,35,"1,842",3,12,22,47,16,"1,837",3,9,15,54,19,"1,839",7,18,24,38,14,"1,838",4,12,26,44,14,"1,838",5,29,29,28,10,"1,832",3,14,17,53,12,"1,838",15,27,23,30,6,"1,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  admin & clerical staff,--,5,12,35,34,14,"1,215",2,9,31,30,28,"1,211",2,5,25,32,36,"1,214",4,10,22,50,13,"1,215",2,8,11,54,24,"1,217",2,2,7,49,40,"1,218",2,7,8,46,37,"1,213",4,13,23,47,13,"1,215",3,9,18,56,15,"1,217",7,18,26,38,10,"1,214",4,13,28,44,11,"1,215",5,29,31,27,8,"1,211",4,14,17,53,11,"1,210",15,26,23,30,5,"1,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  central functions / corporate services,--,6,12,35,35,12,441,2,5,32,36,25,440,2,5,20,37,36,441,4,15,16,50,15,441,3,15,17,46,20,441,2,3,7,51,36,441,3,13,11,48,25,441,2,9,14,49,26,440,3,7,7,53,30,440,6,15,15,40,24,441,2,9,19,47,23,441,5,25,22,32,16,441,3,15,15,54,13,441,13,31,19,31,6,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  maintenance / ancillary,--,3,10,34,35,18,183,1,12,30,25,32,186,1,3,28,23,45,187,1,1,27,57,14,184,0,1,4,70,24,186,3,1,4,60,32,185,1,5,3,57,35,188,1,16,28,47,9,182,1,19,23,49,9,182,4,28,29,33,6,183,2,21,29,41,7,182,4,42,28,20,7,180,2,14,24,45,15,187,13,27,26,28,5,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,General managers,--,5,10,24,39,22,141,3,5,17,41,34,141,4,1,12,40,43,141,5,15,13,45,22,141,3,16,8,45,28,141,4,4,4,43,45,141,3,14,9,36,37,141,0,9,8,46,37,140,0,3,8,50,39,141,3,5,15,42,35,140,3,4,12,45,37,141,6,20,22,32,20,141,6,20,11,50,14,140,14,32,18,30,6,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Full time staff,--,4,12,33,36,15,"5,570",2,6,26,37,29,"5,546",2,4,18,34,43,"5,558",3,9,18,52,18,"5,564",2,9,10,54,26,"5,572",2,3,7,50,39,"5,577",3,12,11,45,29,"5,566",3,9,18,50,20,"5,564",2,7,13,57,22,"5,571",7,15,21,40,16,"5,565",4,13,24,45,15,"5,554",4,23,26,32,16,"5,531",6,20,19,45,10,"5,549",20,33,20,23,4,"5,538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Part time staff,--,3,10,34,38,15,"2,653",1,5,27,38,29,"2,652",1,3,17,35,44,"2,650",2,8,17,57,16,"2,653",1,6,9,60,24,"2,658",1,2,5,56,36,"2,660",2,10,9,50,28,"2,657",2,11,22,50,15,"2,654",2,8,16,57,17,"2,654",6,20,24,38,11,"2,651",4,16,28,41,10,"2,649",3,25,27,31,14,"2,637",6,18,20,49,8,"2,650",18,30,23,26,4,"2,647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Staff aged 16-30,--,4,11,33,39,13,813,2,4,22,43,29,813,2,5,22,40,31,813,2,9,15,57,16,812,2,8,10,56,24,815,1,3,5,51,41,815,3,8,10,48,32,814,1,8,16,54,21,815,1,7,12,56,24,815,5,16,22,41,16,815,2,12,24,47,15,813,5,26,28,31,10,808,5,16,16,49,13,813,18,29,18,28,7,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Staff aged 31-40,--,4,10,37,38,12,"1,303",1,5,27,41,25,"1,300",2,4,18,38,38,"1,299",3,10,16,55,16,"1,302",1,9,10,56,23,"1,303",1,2,5,53,39,"1,302",3,12,10,49,27,"1,300",2,12,17,50,20,"1,302",2,8,9,58,22,"1,302",6,17,20,41,17,"1,300",4,14,22,46,15,"1,299",4,23,26,32,15,"1,289",6,20,19,46,9,"1,301",19,32,22,23,4,"1,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Staff aged 41-50,--,4,12,34,37,14,"2,324",2,7,27,37,27,"2,320",1,4,17,36,42,"2,322",3,10,17,53,17,"2,321",2,7,11,56,23,"2,327",1,3,7,52,38,"2,329",3,12,10,46,29,"2,326",3,9,19,50,19,"2,318",3,8,14,55,20,"2,323",7,16,22,39,16,"2,320",4,14,23,43,15,"2,318",4,23,26,31,16,"2,304",6,21,19,46,8,"2,312",20,31,22,24,3,"2,313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Staff aged 51 or over,--,3,10,32,37,18,"3,767",1,6,26,35,32,"3,752",1,2,16,31,49,"3,760",2,8,18,54,18,"3,767",1,7,8,55,28,"3,772",1,3,6,52,38,"3,778",3,11,11,46,30,"3,770",3,10,21,50,17,"3,767",2,7,15,58,18,"3,769",7,18,23,39,13,"3,764",4,14,28,42,12,"3,758",4,23,26,31,16,"3,751",6,19,20,46,9,"3,761",19,33,21,23,4,"3,755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Men,--,6,12,29,34,19,845,3,6,26,33,32,843,2,6,21,36,35,844,4,10,18,48,20,842,2,8,12,51,27,844,2,3,7,48,40,845,4,11,11,44,31,843,4,10,19,46,22,843,4,7,13,53,23,844,7,14,23,38,18,844,5,10,24,43,18,841,6,22,28,30,14,838,5,16,17,50,12,839,17,29,20,28,6,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Women,--,3,11,34,38,14,"7,052",1,6,26,38,29,"7,033",1,3,17,34,45,"7,042",2,9,17,55,17,"7,054",2,8,9,56,25,"7,062",1,2,6,52,38,"7,067",3,11,10,47,29,"7,058",2,10,19,51,18,"7,049",2,7,14,57,20,"7,055",6,17,22,40,15,"7,046",3,14,26,44,13,"7,039",4,23,26,32,16,"7,007",6,20,20,46,9,"7,039",20,32,21,23,4,"7,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Disabled staff,--,5,14,35,32,13,"1,363",3,8,30,32,27,"1,362",2,4,21,32,40,"1,363",4,12,19,49,16,"1,366",3,10,11,51,26,"1,368",3,4,8,49,37,"1,370",4,13,11,42,29,"1,363",5,14,20,46,16,"1,365",4,10,16,52,18,"1,364",11,21,22,34,13,"1,365",7,17,26,39,11,"1,363",4,22,26,30,18,"1,352",8,22,21,39,10,"1,355",23,33,21,18,4,"1,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Non-disabled staff,--,3,10,33,38,15,"6,668",1,5,25,38,30,"6,643",1,3,17,35,44,"6,654",2,8,17,55,17,"6,657",1,7,10,57,25,"6,669",1,2,6,52,39,"6,673",3,11,10,48,29,"6,666",2,9,19,51,19,"6,661",2,7,13,58,20,"6,666",6,16,22,41,15,"6,656",3,13,26,45,14,"6,647",4,24,26,31,15,"6,621",5,19,19,48,9,"6,652",19,32,21,25,4,"6,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,White staff (summary),--,4,11,34,37,14,"7,589",1,6,26,38,28,"7,568",1,3,17,34,44,"7,579",3,9,17,54,16,"7,586",2,8,10,56,24,"7,595",1,3,6,52,38,"7,602",3,12,10,47,28,"7,591",3,10,19,50,18,"7,584",2,7,13,57,20,"7,591",7,17,21,40,15,"7,583",4,14,25,44,14,"7,567",4,23,26,31,16,"7,547",6,20,19,46,9,"7,570",20,32,21,24,4,"7,556",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Non-white staff (summary),--,1,8,30,34,26,589,1,4,21,30,44,585,2,3,17,30,48,586,2,7,19,47,25,587,2,4,10,49,35,592,2,2,6,49,41,592,2,5,8,43,41,591,4,10,21,48,17,591,2,7,18,55,16,590,6,17,31,34,12,589,4,10,32,39,16,593,9,20,30,30,11,578,6,11,16,54,13,586,14,32,24,25,5,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,White British staff,--,4,11,34,38,14,"7,281",1,6,26,38,28,"7,263",1,3,18,35,43,"7,272",3,9,17,55,16,"7,279",2,8,10,56,24,"7,288",1,3,6,52,38,"7,295",3,11,11,47,28,"7,285",2,10,19,50,18,"7,277",2,7,13,57,20,"7,285",7,17,21,40,15,"7,276",4,14,25,44,13,"7,260",4,24,26,31,16,"7,243",6,20,19,46,8,"7,265",20,32,20,24,4,"7,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,White Irish staff,--,4,4,41,31,19,123,1,4,22,29,44,121,1,3,10,19,67,123,3,6,12,52,26,122,1,10,4,52,33,122,0,4,8,42,47,122,6,11,12,45,27,121,3,9,22,50,18,122,5,6,17,60,13,121,5,23,23,35,14,122,3,22,22,44,10,122,1,19,29,39,11,121,8,18,18,39,16,121,20,38,17,18,6,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Other White staff,--,3,16,29,30,21,185,1,10,25,30,33,184,3,3,16,29,48,184,4,9,19,56,13,185,1,9,14,57,19,185,1,5,10,52,32,185,2,10,8,53,27,185,6,12,23,45,15,185,3,6,17,55,20,185,9,24,19,33,15,185,6,20,21,40,13,185,6,27,26,31,11,183,10,22,18,41,10,184,22,32,17,24,6,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Black or Black British staff,--,0,9,32,34,26,205,1,3,30,27,40,203,3,2,25,29,41,204,1,3,15,60,20,204,1,1,14,52,31,207,1,1,9,55,34,207,1,3,10,53,33,206,7,7,17,59,10,206,7,5,13,62,13,205,9,18,19,40,14,204,7,6,21,52,14,207,4,16,30,32,17,201,5,10,19,50,15,204,13,35,22,23,7,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Black Caribbean staff,--,1,13,40,33,13,80,2,1,32,40,25,80,0,6,26,31,38,80,0,9,21,58,12,79,0,1,19,58,21,80,0,3,18,46,34,80,1,4,17,49,30,80,0,20,17,49,13,80,1,11,19,54,16,79,1,23,26,44,7,80,1,10,28,51,10,80,3,18,44,28,7,77,9,9,19,46,17,78,12,38,30,12,8,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Black African staff,--,0,5,24,38,33,113,1,2,22,24,51,111,4,2,24,25,46,112,1,0,7,63,29,113,2,1,7,52,38,115,2,0,6,52,40,115,1,2,5,52,40,114,9,4,16,58,13,114,8,3,14,58,17,114,13,11,25,34,18,112,9,6,24,44,17,115,6,17,27,32,19,112,3,8,19,52,18,114,11,39,16,26,9,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Other Black background staff,--,0,29,20,34,17,12,0,14,31,17,37,12,0,0,37,34,29,12,0,0,20,80,0,12,0,0,20,49,31,12,0,0,17,63,20,12,0,17,29,29,26,12,0,0,17,66,17,12,0,0,31,69,0,12,14,17,3,63,3,12,0,17,17,66,0,12,0,21,13,37,29,12,0,20,31,46,3,12,17,34,24,24,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Asian or Asian British staff,--,2,4,22,34,37,259,1,2,17,31,49,257,2,1,13,30,54,257,3,5,17,44,31,259,1,3,7,42,45,259,1,1,4,40,54,259,1,5,6,37,51,260,5,10,20,48,17,259,3,8,18,55,16,259,6,14,34,34,12,259,4,11,32,36,17,260,7,24,29,30,10,253,3,8,17,57,14,258,12,25,29,28,6,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
