Service,Supplier Name,Date,Amount (£),Purpose of Expenditure,Merchant Category,Transaction Number,Organisation Name,Service Category
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,10.00,Waste Management,Environmental Services Waste Management ,5100292383,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,10.00,Waste Management,Environmental Services Waste Management ,5100292384,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,20.00,Waste Management,Environmental Services Waste Management ,5100292384,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,10.00,Waste Management,Environmental Services Waste Management ,5100292384,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,10.00,Waste Management,Environmental Services Waste Management ,5100292384,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,4.99,Waste Management,Environmental Services Waste Management ,5100292384,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,10.00,Waste Management,Environmental Services Waste Management ,5100292384,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,10.00,Waste Management,Environmental Services Waste Management ,5100292384,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,10.00,Waste Management,Environmental Services Waste Management ,5100292386,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,20.00,Waste Management,Environmental Services Waste Management ,5100292386,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,10.00,Waste Management,Environmental Services Waste Management ,5100292386,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,10.00,Waste Management,Environmental Services Waste Management ,5100292386,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,4.99,Waste Management,Environmental Services Waste Management ,5100292386,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,10.00,Waste Management,Environmental Services Waste Management ,5100292386,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,10.00,Waste Management,Environmental Services Waste Management ,5100292386,Stockport,Corporate and Support Services
Childrens & Educational Services,SAICA NATUR UK LTD,2015-09-25,50.00,Waste Management,Environmental Services Waste Management ,5100291966,Stockport,Corporate and Support Services
Childrens & Educational Services,SAICA NATUR UK LTD,2015-09-28,70.00,Waste Management,Environmental Services Waste Management ,1900554308,Stockport,Services to People
Childrens & Educational Services,SAICA NATUR UK LTD,2015-09-28,70.00,Waste Management,Environmental Services Waste Management ,1900554309,Stockport,Services to People
Childrens & Educational Services,SAICA NATUR UK LTD,2015-09-25,60.00,Waste Management,Environmental Services Waste Management ,5100291957,Stockport,Services to People
Childrens & Educational Services,SAICA NATUR UK LTD,2015-09-25,50.00,Waste Management,Environmental Services Waste Management ,5100291958,Stockport,Services to People
Childrens & Educational Services,SAICA NATUR UK LTD,2015-09-28,50.00,Waste Management,Environmental Services Waste Management ,5100291967,Stockport,Services to People
Cultural & Related Services,SAICA NATUR UK LTD,2015-09-18,50.00,Waste Management,Environmental Services Waste Management ,5100291963,Stockport,Services to Place
Planning Services,SAICA NATUR UK LTD,2015-09-28,10.00,Waste Management,Environmental Services Waste Management ,5100292385,Stockport,Corporate and Support Services
Environmental & Regulatory Services,SAICA NATUR UK LTD,2015-09-25,50.00,Security,Facilities & Management Services Security ,5100291965,Stockport,Services to Place
Central Services to the public,SAICA NATUR UK LTD,2015-09-14,60.00,Office Expenses,Stationery    ,5100291829,Stockport,Corporate and Support Services
Adult Social Care,SALFORD CITY COUNCIL,2015-09-18,"7,947.00",Fees and Charges,Fees and Charges,1900551665,Stockport,Services to People
Childrens & Educational Services,SALFORD LINK PROJECT,2015-09-02,979.82,Professional Fees,Human Resources Interpretation & Translation ,1900550929,Stockport,Services to People
Childrens & Educational Services,SALFORD LINK PROJECT,2015-09-25,585.82,Professional Fees,Human Resources Interpretation & Translation ,1900553647,Stockport,Services to People
Central Services to the public,SALFORD ROYAL NHS FOUNDATION TRUST,2015-09-17,276.90,Third party payments - Public Sector,Cemetery & Crematorium   ,1900552603,Stockport,Corporate and Support Services
Central Services to the public,SALFORD ROYAL NHS FOUNDATION TRUST,2015-09-17,276.90,Third party payments - Public Sector,Cemetery & Crematorium   ,1900552619,Stockport,Corporate and Support Services
Central Services to the public,SALFORD ROYAL NHS FOUNDATION TRUST,2015-09-17,276.90,Third party payments - Public Sector,Cemetery & Crematorium   ,1900552627,Stockport,Corporate and Support Services
Central Services to the public,SALFORD ROYAL NHS FOUNDATION TRUST,2015-09-28,276.90,Third party payments - Public Sector,Cemetery & Crematorium   ,1900554217,Stockport,Corporate and Support Services
Adult Social Care,Salus - Withnell Hall,2015-09-29,"2,500.00",Care Payments,Social Community Care Supplies & Services  ,102280290,Stockport,Services to People
Capital Expenditure,SAS DANIELS,2015-09-10,"31,500.00",Supplies and services,Supplies and services,1900552598,Stockport,Services to Place
Capital Expenditure,SAS DANIELS,2015-09-22,"1,032.00",Supplies and services,Supplies and services,1900553778,Stockport,Services to Place
Capital Expenditure,SAS DANIELS,2015-09-28,900.00,Supplies and services,Supplies and services,1900554329,Stockport,Services to Place
Capital Expenditure,SAS Daniels LLP,2015-09-02,"5,044.80",Supplies and services,Supplies and services,1900551571,Stockport,Services to Place
Planning Services,SATISNET TD,2015-09-02,"2,782.00",Information and Communications Technology,Information Communication Technology  ,5100288150,Stockport,Corporate and Support Services
Capital Expenditure,Savilles Solicitors Limited,2015-09-21,"298,270.00",Supplies and services,Supplies and services,1900553638,Stockport,Services to Place
Adult Social Care,SCAN MOBILITY LTD,2015-09-04,780.00,Furniture and Equipment,Environmental Services Technical Equipment ,5100290317,Stockport,Services to People
Adult Social Care,SCAN MOBILITY LTD,2015-09-04,35.77,Furniture and Equipment,Environmental Services Technical Equipment ,5100290318,Stockport,Services to People
Adult Social Care,SCAN MOBILITY LTD,2015-09-04,-35.77,Furniture and Equipment,Environmental Services Technical Equipment ,5100290905,Stockport,Services to People
Central Support Costs,SCC PLC,2015-09-10,530.70,Furniture and Equipment,Environmental Services Technical Equipment ,5100290829,Stockport,Corporate and Support Services
Childrens & Educational Services,SCC PLC,2015-09-25,432.00,Furniture and Equipment,Environmental Services Technical Equipment ,5100291819,Stockport,Services to People
Adult Social Care,SCC PLC,2015-09-02,466.70,Information and Communications Technology,Information Communication Technology  ,5100290615,Stockport,Services to People
Adult Social Care,SCC PLC,2015-09-07,864.00,Information and Communications Technology,Information Communication Technology  ,5100290619,Stockport,Services to People
Central Services to the public,SCC PLC,2015-09-09,466.70,Information and Communications Technology,Information Communication Technology  ,5100290616,Stockport,Corporate and Support Services
Environmental & Regulatory Services,SCC PLC,2015-09-17,466.70,Information and Communications Technology,Information Communication Technology  ,5100291815,Stockport,Corporate and Support Services
Highways & Transport Services,SCC PLC,2015-09-25,30.00,Information and Communications Technology,Information Communication Technology  ,5100291822,Stockport,Services to Place
Planning Services,SCC PLC,2015-09-03,496.00,Information and Communications Technology,Information Communication Technology  ,5100290319,Stockport,Corporate and Support Services
Planning Services,SCC PLC,2015-09-10,496.37,Information and Communications Technology,Information Communication Technology  ,5100290828,Stockport,Corporate and Support Services
Planning Services,SCC PLC,2015-09-23,432.00,Information and Communications Technology,Information Communication Technology  ,5100291817,Stockport,Corporate and Support Services
Planning Services,SCC PLC,2015-09-07,"5,184.00",Information and Communications Technology,Information Communication Technology  ,5100290617,Stockport,Services to Place
Adult Social Care,SCOPE,2015-09-07,"3,823.90",Care Payments,Social Community Care Supplies & Services  ,102267809,Stockport,Services to People
Adult Social Care,SCOPE,2015-09-07,-402.25,Care Payments,Social Community Care Supplies & Services  ,102267809,Stockport,Services to People
Adult Social Care,SCOPE,2015-09-07,"4,644.25",Care Payments,Social Community Care Supplies & Services  ,102267810,Stockport,Services to People
Adult Social Care,SCOPE,2015-09-07,-402.25,Care Payments,Social Community Care Supplies & Services  ,102267810,Stockport,Services to People
Adult Social Care,SCOPE,2015-09-07,"4,250.00",Care Payments,Social Community Care Supplies & Services  ,102267811,Stockport,Services to People
Adult Social Care,SCOPE,2015-09-07,-402.25,Care Payments,Social Community Care Supplies & Services  ,102267811,Stockport,Services to People
Adult Social Care,Sea Recruitment Services ISF,2015-09-25,"3,426.15",Care Payments,Social Community Care Supplies & Services  ,102278766,Stockport,Services to People
Adult Social Care,SEASHELL TRUST,2015-09-29,"10,344.07",Care Payments,Social Care/Education,102280260,Stockport,Services to People
Adult Social Care,SEASHELL TRUST,2015-09-07,"2,350.00",Care Payments,Social Care/Education,1900552112,Stockport,Services to People
Adult Social Care,SEASHELL TRUST,2015-09-15,"5,000.10",Care Payments,Social Care/Education,1900552113,Stockport,Services to People
Adult Social Care,SEASHELL TRUST,2015-09-07,"2,666.72",Care Payments,Social Care/Education,1900552115,Stockport,Services to People
Childrens & Educational Services,SEASHELL TRUST,2015-09-03,"2,287.50",Care Payments,Social Care/Education,1900551131,Stockport,Services to People
Childrens & Educational Services,SEASHELL TRUST,2015-09-03,896.54,Care Payments,Social Care/Education,1900551133,Stockport,Services to People
Childrens & Educational Services,SEASHELL TRUST,2015-09-24,848.55,Care Payments,Social Care/Education,1900553392,Stockport,Services to People
Childrens & Educational Services,SEASHELL TRUST,2015-09-24,"2,625.00",Care Payments,Social Care/Education,1900553393,Stockport,Services to People
Public Health,SEC-1 LTD,2015-09-08,"3,800.00",Information and Communications Technology,Information Communication Technology  ,5100289949,Stockport,Services to People
Public Health,SEC-1 LTD,2015-09-08,"-3,800.00",Information and Communications Technology,Information Communication Technology  ,5100290461,Stockport,Services to People
Public Health,SEC-1 LTD,2015-09-10,"3,800.00",Information and Communications Technology,Information Communication Technology  ,5100291500,Stockport,Services to People
Capital Expenditure,SECURE EMPTY PROPERTY,2015-09-28,80.00,Capital Expenditure - Acquisitions,Acquisition of Land and Buildings,5100291729,Stockport,Services to Place
Housing (Revenue Account) Services,SECURE EMPTY PROPERTY,2015-09-28,560.00,Professional Fees,Consultancy   ,1900552566,Stockport,Services to Place
Public Health,Self Help Services,2015-09-25,"8,607.00",Supplies and services,Supplies and services,5100292325,Stockport,Services to People
Adult Social Care,Self Storage Tameside,2015-09-01,42.73,Care Payments,Social Community Care Supplies & Services  ,1900551256,Stockport,Services to People
Adult Social Care,Self Storage Tameside,2015-09-01,34.40,Care Payments,Social Community Care Supplies & Services  ,1900551267,Stockport,Services to People
Adult Social Care,Self Storage Tameside,2015-09-01,464.40,Care Payments,Social Community Care Supplies & Services  ,1900551271,Stockport,Services to People
Adult Social Care,Self Storage Tameside,2015-09-15,42.73,Care Payments,Social Community Care Supplies & Services  ,1900552958,Stockport,Services to People
Adult Social Care,Self Storage Tameside,2015-09-15,34.40,Care Payments,Social Community Care Supplies & Services  ,1900552960,Stockport,Services to People
Central Support Costs,SGM SOLICITORS,2015-09-11,"1,855.88",Legal Fees,Legal Services  ,1900552275,Stockport,Corporate and Support Services
Cultural & Related Services,SHEARINGS HOLIDAYS LTD,2015-09-15,650.00,Publicity and Promotion,Arts & Leisure Services  ,1900552922,Stockport,Services to Place
Adult Social Care,SHEFFIELD HALLAM UNIVERSITY,2015-09-08,"10,000.00",Professional Fees,Consultancy   ,5100291352,Stockport,Services to People
Childrens & Educational Services,SHRED-IT LTD,2015-09-22,144.27,Waste Management,Environmental Services Waste Management ,1900551129,Stockport,Corporate and Support Services
Childrens & Educational Services,SHRED-IT LTD,2015-09-14,92.07,Waste Management,Environmental Services Waste Management ,1900552701,Stockport,Corporate and Support Services
Childrens & Educational Services,SHRED-IT LTD,2015-09-14,180.00,Waste Management,Environmental Services Waste Management ,1900552698,Stockport,Services to People
