Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount
Department For Transport,Highways Agency,22/03/2011,Prepaid expenses - programme,TRAFFIC MANAGEMENT DIRECTORATE,ST HELENS COUNCIL,500035,"74,909.00"
Department For Transport,Highways Agency,22/03/2011,Prepaid expenses - programme,TRAFFIC MANAGEMENT DIRECTORATE,WAKEFIELD MDC,499990,"99,279.70"
Department For Transport,Highways Agency,22/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,AMEY LG LIMITED,499941,"9,833.00"
Department For Transport,Highways Agency,22/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS LTD,499995,"55,132.54"
Department For Transport,Highways Agency,22/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD231288,"25,146.48"
Department For Transport,Highways Agency,22/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,MOUCHEL LIMITED,499959,"90,078.77"
Department For Transport,Highways Agency,22/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,URS CORPORATION LTD,499985,"27,495.48"
Department For Transport,Highways Agency,22/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,499941,"22,581.28"
Department For Transport,Highways Agency,22/03/2011,TA Cost AUC - Programme,NETWORK SERVICES DIRECTORATE,OVE ARUP & PARTNERS,497768,-0.86
Department For Transport,Highways Agency,22/03/2011,TA Cost AUC - Programme,TRAFFIC MANAGEMENT DIRECTORATE,ALENIA OPTIC LIMITED,500002,"218,400.00"
Department For Transport,Highways Agency,22/03/2011,TA Renewal of Roads - Capital,MAJOR PROJECTS,TREASURY SOLICITOR,500037,"37,288.15"
Department For Transport,Highways Agency,22/03/2011,Waste disposal / refuse collection,FINANCE & BUSINESS SERVICES,AZCOM BUSINESS SOLUTIONS LTD,499777,"-6,910.40"
Department For Transport,Highways Agency,23/03/2011,CM - Compounds Maintenance,NETWORK DELIVERY & DEVELOPMENT,TEWKESBURY BOROUGH COUNCIL,500065,"25,330.50"
Department For Transport,Highways Agency,23/03/2011,CM External Technical Consultant Costs  ,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,500150,"25,673.68"
Department For Transport,Highways Agency,23/03/2011,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500171,840.88
Department For Transport,Highways Agency,23/03/2011,Contractors Costs,MAJOR PROJECTS,PB LTD,500083,"75,623.46"
Department For Transport,Highways Agency,23/03/2011,Contractors Costs,MAJOR PROJECTS,URS CORPORATION LTD,500109,"83,257.23"
Department For Transport,Highways Agency,23/03/2011,Contractors Costs,MAJOR PROJECTS,URS CORPORATION LTD,500110,"43,485.28"
Department For Transport,Highways Agency,23/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,500118,"324,642.26"
Department For Transport,Highways Agency,23/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500163,"32,987.17"
Department For Transport,Highways Agency,23/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500164,"52,080.75"
Department For Transport,Highways Agency,23/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500167,"172,210.77"
Department For Transport,Highways Agency,23/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500170,"83,956.14"
Department For Transport,Highways Agency,23/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500171,"123,375.18"
Department For Transport,Highways Agency,23/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,JMP CONSULTANTS LTD,500095,"37,000.00"
Department For Transport,Highways Agency,23/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,JMP CONSULTANTS LTD,500099,"43,000.00"
Department For Transport,Highways Agency,23/03/2011,Contractor Costs,MAJOR PROJECTS,CARILLION CONSTRUCTION LIMITED,500094,"25,203.10"
Department For Transport,Highways Agency,23/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,500118,"13,864.55"
Department For Transport,Highways Agency,23/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,452108,"-18,929.77"
Department For Transport,Highways Agency,23/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,498985,"-16,396.68"
Department For Transport,Highways Agency,23/03/2011,ICT Unit price service costs,BUSINESS SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,500101,"375,231.56"
Department For Transport,Highways Agency,23/03/2011,ICT Unit price service costs,BUSINESS SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,500102,"375,694.90"
Department For Transport,Highways Agency,23/03/2011,ICT Unit price service costs,BUSINESS SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,500103,"367,958.28"
Department For Transport,Highways Agency,23/03/2011,ICT Unit price service costs,BUSINESS SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,500105,"362,786.93"
Department For Transport,Highways Agency,23/03/2011,ICT Unit price service costs,BUSINESS SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,500107,"371,594.64"
Department For Transport,Highways Agency,23/03/2011,ICT Unit price service costs,BUSINESS SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,500137,"368,257.04"
Department For Transport,Highways Agency,23/03/2011,Lands Costs,MAJOR PROJECTS,MOUCHEL LIMITED,500117,"86,017.96"
Department For Transport,Highways Agency,23/03/2011,Non Civil Servant HA Staff,MAJOR PROJECTS,CORDEROY CONTRACT SERVICES LTD,500145,"48,000.00"
Department For Transport,Highways Agency,23/03/2011,Non Civil Servant HA Staff,MAJOR PROJECTS,E C HARRIS LLP,500152,"96,771.22"
Department For Transport,Highways Agency,23/03/2011,Non Civil Servant HA Staff,MAJOR PROJECTS,E C HARRIS LLP,500157,"80,704.80"
Department For Transport,Highways Agency,23/03/2011,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,CONNECT PLUS (M25) LTD,500147,"10,989,196.18"
Department For Transport,Highways Agency,23/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,BIRSE CIVILS LTD,500148,"25,361.22"
Department For Transport,Highways Agency,23/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,MOUCHEL LIMITED,500077,"297,068.28"
Department For Transport,Highways Agency,23/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500171,"55,192.79"
Department For Transport,Highways Agency,23/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,CARILLION CONSTRUCTION LIMITED,478933,"-100,000.00"
Department For Transport,Highways Agency,23/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,INTERSERVE PROJECT SERVICES LTD,500089,"340,488.97"
Department For Transport,Highways Agency,23/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,MOTT MACDONALD GROUP LTD,497999,"-7,928.68"
Department For Transport,Highways Agency,23/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,MOUCHEL LIMITED,497866,"-3,130.14"
Department For Transport,Highways Agency,23/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,MOUCHEL LIMITED,500138,"34,471.00"
Department For Transport,Highways Agency,23/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,PEEK TRAFFIC LTD,500064,"152,165.00"
Department For Transport,Highways Agency,23/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BIRSE CIVILS LTD,500061,"351,254.05"
Department For Transport,Highways Agency,23/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,HANSON CONTRACTING,500074,"54,900.16"
Department For Transport,Highways Agency,23/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,LAFARGE/COSTAIN JOINT VENTURE,500088,"956,789.34"
Department For Transport,Highways Agency,23/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,TELENT TECHNOLOGY SERVICES LIMITED,500119,"56,164.12"
Department For Transport,Highways Agency,23/03/2011,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500167,"58,598.53"
Department For Transport,Highways Agency,24/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,500202,"50,238.89"
Department For Transport,Highways Agency,24/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,497412,"2,208.28"
Department For Transport,Highways Agency,24/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,500194,"25,999.35"
Department For Transport,Highways Agency,24/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,500197,"30,588.40"
Department For Transport,Highways Agency,24/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,SERCO,500234,"57,361.15"
Department For Transport,Highways Agency,24/03/2011,Contractors Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,500227,"29,000.00"
Department For Transport,Highways Agency,24/03/2011,Contractors Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,500228,"31,719.48"
Department For Transport,Highways Agency,24/03/2011,Contractors Costs,NETWORK SERVICES DIRECTORATE,PA CONSULTING SERVICES LTD,500246,"30,750.00"
Department For Transport,Highways Agency,24/03/2011,Contractors Costs,NETWORK SERVICES DIRECTORATE,WSP UK LIMITED,500263,"27,991.77"
Department For Transport,Highways Agency,24/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CORNWALL COUNCIL,500225,"38,231.72"
Department For Transport,Highways Agency,24/03/2011,ICT Consultancy Costs,NETWORK SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,500251,"45,052.23"
Department For Transport,Highways Agency,24/03/2011,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,500217,"280,953.85"
Department For Transport,Highways Agency,24/03/2011,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,500218,"886,321.09"
Department For Transport,Highways Agency,24/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS LTD,500284,"368,577.96"
Department For Transport,Highways Agency,24/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,JACOBS ENGINEERING UK LIMITED,500283,"76,257.73"
Department For Transport,Highways Agency,24/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,LAING O'ROURKE CIVIL ENGINEERING LIMITED,500254,"177,835.65"
Department For Transport,Highways Agency,24/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,LAING O'ROURKE CIVIL ENGINEERING LIMITED,500255,"298,133.21"
Department For Transport,Highways Agency,24/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,LAING O'ROURKE CIVIL ENGINEERING LIMITED,500256,"144,118.53"
Department For Transport,Highways Agency,24/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,NETWORK RAIL,500250,"31,412.02"
Department For Transport,Highways Agency,24/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,BIRSE CIVILS LTD,500204,"395,045.19"
Department For Transport,Highways Agency,24/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,EON ENERGY/CENTRAL NETWORKS (CIS) DIVERT/CONNECT,500270,"29,076.07"
Department For Transport,Highways Agency,24/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,500242,"498,985.60"
Department For Transport,Highways Agency,24/03/2011,TA Cost AUC - Programme,NETWORK SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,500245,"42,535.00"
Department For Transport,Highways Agency,24/03/2011,TA Cost AUC - Programme,NETWORK SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,500247,"32,773.00"
Department For Transport,Highways Agency,24/03/2011,TA Cost AUC - Programme,NETWORK SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,500248,"35,119.00"
Department For Transport,Highways Agency,24/03/2011,TA Cost AUC - Programme,NETWORK SERVICES DIRECTORATE,OVE ARUP & PARTNERS,500186,"36,021.83"
Department For Transport,Highways Agency,24/03/2011,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,INTERSERVE PROJECT SERVICES LTD,500201,"262,458.91"
Department For Transport,Highways Agency,25/03/2011,CM External Technical Consultant Costs  ,NETWORK DELIVERY & DEVELOPMENT,IPL INFORMATION PROCESSING LTD,500313,839.89
Department For Transport,Highways Agency,25/03/2011,CM External Technical Consultant Costs  ,NETWORK DELIVERY & DEVELOPMENT,MOTT MACDONALD GROUP LTD,500341,"133,295.42"
Department For Transport,Highways Agency,25/03/2011,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500370,"528,471.94"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,468657,"-7,656.72"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,500421,"642,274.41"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,432417,"-32,360.40"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500300,"95,727.37"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500370,"53,767.90"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500371,"685,227.53"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500376,"357,276.80"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,484067,"-33,228.57"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,498268,"-18,226.21"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,500308,"261,697.10"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,500433,"64,292.25"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,500434,"780,389.64"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,500438,744.3
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,500330,"32,555.28"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,500422,"50,181.08"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,THE MET OFFICE,500363,"25,400.00"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,THE MET OFFICE,500364,"25,400.00"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,THE MET OFFICE,500365,"25,400.00"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,THE MET OFFICE,500366,"25,400.00"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,THE MET OFFICE,500367,"25,400.00"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK SERVICES DIRECTORATE,OVE ARUP & PARTNERS,500325,"32,524.49"
Department For Transport,Highways Agency,25/03/2011,Contractors Costs,NETWORK SERVICES DIRECTORATE,TRL LTD,500329,"40,772.34"
Department For Transport,Highways Agency,25/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,468657,"-213,171.61"
Department For Transport,Highways Agency,25/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,500421,"874,306.00"
Department For Transport,Highways Agency,25/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,452085,"-172,411.00"
Department For Transport,Highways Agency,25/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,494041,"-313,866.68"
Department For Transport,Highways Agency,25/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500370,"160,216.35"
Department For Transport,Highways Agency,25/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500373,"86,201.80"
Department For Transport,Highways Agency,25/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500374,"11,197.00"
Department For Transport,Highways Agency,25/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500376,"1,281,962.53"
Department For Transport,Highways Agency,25/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CARILLION-WSP JOINT VENTURE,498939,"-2,726.38"
Department For Transport,Highways Agency,25/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,500385,"217,816.00"
Department For Transport,Highways Agency,25/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,500398,"428,700.00"
Department For Transport,Highways Agency,25/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,IPL INFORMATION PROCESSING LTD,500313,"28,242.84"
Department For Transport,Highways Agency,25/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,TELENT TECHNOLOGY SERVICES LIMITED,473346,"-196,052.56"
Department For Transport,Highways Agency,25/03/2011,Contractor Costs,TRAFFIC MANAGEMENT DIRECTORATE,FMG SUPPORT LIMITED,500347,"550,000.00"
Department For Transport,Highways Agency,25/03/2011,Facilities Management Charges,FINANCE & BUSINESS SERVICES,AMEY COMMUNITY LIMITED,500358,"25,799.58"
Department For Transport,Highways Agency,25/03/2011,PFI Service Payments,TRAFFIC MANAGEMENT DIRECTORATE,TRAFFIC INFORMATION SERVICES LTD,500384,"47,000.00"
Department For Transport,Highways Agency,25/03/2011,Prepaid expenses - programme,TRAFFIC MANAGEMENT DIRECTORATE,NOTTINGHAM CITY COUNCIL,500342,"73,436.06"
Department For Transport,Highways Agency,25/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,A-ONE + INTEGRATED HIGHWAY SERVICES,500370,"6,238.65"
Department For Transport,Highways Agency,25/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,A-ONE + INTEGRATED HIGHWAY SERVICES,500371,108.82
Department For Transport,Highways Agency,25/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS LTD,497080,"-25,718.48"
Department For Transport,Highways Agency,25/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,BALFOUR BEATTY - SKANSKA JOINT VENTURE,500331,"203,883.32"
Department For Transport,Highways Agency,25/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,GENESYS TELECOMMUNICATIONS LTD,500393,"1,163,846.27"
Department For Transport,Highways Agency,25/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,GENESYS TELECOMMUNICATIONS LTD,500397,"1,354,648.47"
Department For Transport,Highways Agency,25/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,500421,"2,984.67"
Department For Transport,Highways Agency,25/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500370,"628,201.73"
Department For Transport,Highways Agency,25/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500371,"234,836.73"
Department For Transport,Highways Agency,25/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500372,"96,531.49"
Department For Transport,Highways Agency,25/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500373,"10,317.27"
